timestamp,Name,Node,value
2024-09-05 14:04:23.088109,ableToMoveStatus,ns=4;i=6562,0
2024-09-05 14:04:23.088109,position,ns=4;i=6274,0
2024-09-05 14:04:23.517665,index,ns=4;i=6271,PM_09
2024-09-05 14:04:23.962254,isCrucial,ns=4;i=6272,True
2024-09-05 14:04:24.399209,machineType,ns=4;i=6273,1
2024-09-05 14:04:25.060868,timeOffsetStartLeft,ns=4;i=6563,0.0
2024-09-05 14:04:25.494878,timeOffsetStartRight,ns=4;i=6564,0.0
2024-09-05 14:04:25.913415,turnCounter,ns=4;i=6275,
2024-09-05 14:04:26.549988,aggregateAbleToMoveStatus ,ns=4;i=6023,1
2024-09-05 14:04:26.977965,lastCommandedPosition ,ns=4;i=6304,0
2024-09-05 14:04:27.417563,pointAbleToMoveStatus,ns=4;i=6026,0
2024-09-05 14:04:28.088563,position,ns=4;i=6307,0
2024-09-05 14:04:28.088563,positionDegraded ,ns=4;i=6308,4
2024-09-05 14:04:28.510322,movementStatus,ns=4;i=6305,0
2024-09-05 14:04:28.945216,driveCutoffPrinciple,ns=4;i=6024,1
2024-09-05 14:04:29.480901,isUsingRedrive,ns=4;i=6303,False
2024-09-05 14:04:29.908855,pSamplingInterval ,ns=4;i=6309,10.0
2024-09-05 14:04:30.550878,pointOperationTimer,ns=4;i=6306,10.0
2024-09-05 14:04:30.993803,turnCounter ,ns=4;i=6029,
2024-09-05 14:04:31.434576,StatusTechnical,ns=4;i=6313,0
2024-09-05 14:04:32.090818,isTimeSynchronised,ns=4;i=6025,True
2024-09-05 14:04:32.544024,StatusTechnicalManufacturerSpecificMessage,ns=4;i=6027,
2024-09-05 14:04:32.973553,SubsystemIdentification,ns=4;i=6314,S10
2024-09-05 14:04:33.391213,BasicDataReadable,ns=4;i=6310,3
2024-09-05 14:04:34.046663,FieldElementSpecificationRevision,ns=4;i=6311,1.6 (1.A)
2024-09-05 14:04:34.050705,OperationStatus,ns=4;i=6312,6
2024-09-05 14:04:34.482992,TechnicalPlace,ns=4;i=6289,TP_S10
2024-09-05 14:04:34.928250,lat,ns=4;i=6290,32.343
2024-09-05 14:04:35.467568,lon,ns=4;i=6291,74.655
2024-09-05 14:04:35.915882,trackEdgeId,ns=4;i=6292,1
2024-09-05 14:04:36.551059,trackKm,ns=4;i=6293,1.23
2024-09-05 14:04:36.877480,IsMaintenanceMode,ns=4;i=6294,False
2024-09-05 14:04:37.532149,ableToMoveStatus,ns=4;i=6030,0
2024-09-05 14:04:38.076906,position,ns=4;i=6300,0
2024-09-05 14:04:38.509243,index,ns=4;i=6297,PM_10
2024-09-05 14:04:38.950859,isCrucial,ns=4;i=6298,True
2024-09-05 14:04:39.499415,machineType,ns=4;i=6299,1
2024-09-05 14:04:39.920333,timeOffsetStartLeft,ns=4;i=6031,0.0
2024-09-05 14:04:40.583811,timeOffsetStartRight,ns=4;i=6032,0.0
2024-09-05 14:04:41.032312,turnCounter,ns=4;i=6301,
2024-09-05 14:04:41.918195,aggregateAbleToMoveStatus ,ns=4;i=6033,1
2024-09-05 14:04:42.567330,lastCommandedPosition ,ns=4;i=6330,0
2024-09-05 14:04:42.569254,pointAbleToMoveStatus,ns=4;i=6047,0
2024-09-05 14:04:43.015402,position,ns=4;i=6333,0
2024-09-05 14:04:43.458391,positionDegraded ,ns=4;i=6334,4
2024-09-05 14:04:44.017626,movementStatus,ns=4;i=6331,0
2024-09-05 14:04:44.461054,driveCutoffPrinciple,ns=4;i=6034,1
2024-09-05 14:04:44.890594,isUsingRedrive,ns=4;i=6329,False
2024-09-05 14:04:45.443512,pSamplingInterval ,ns=4;i=6335,10.0
2024-09-05 14:04:45.872588,pointOperationTimer,ns=4;i=6332,10.0
2024-09-05 14:04:46.506118,turnCounter ,ns=4;i=6431,
2024-09-05 14:04:46.937283,StatusTechnical,ns=4;i=6339,0
2024-09-05 14:04:47.582382,isTimeSynchronised,ns=4;i=6035,True
2024-09-05 14:04:47.583924,StatusTechnicalManufacturerSpecificMessage,ns=4;i=6429,
2024-09-05 14:04:48.031802,SubsystemIdentification,ns=4;i=6340,S11
2024-09-05 14:04:48.590688,BasicDataReadable,ns=4;i=6336,3
2024-09-05 14:04:49.016926,FieldElementSpecificationRevision,ns=4;i=6337,1.6 (1.A)
2024-09-05 14:04:49.461256,OperationStatus,ns=4;i=6338,6
2024-09-05 14:04:50.002983,TechnicalPlace,ns=4;i=6315,TP_S11
2024-09-05 14:04:50.447705,lat,ns=4;i=6316,32.343
2024-09-05 14:04:50.892779,lon,ns=4;i=6317,74.655
2024-09-05 14:04:51.448873,trackEdgeId,ns=4;i=6318,1
2024-09-05 14:04:51.877408,trackKm,ns=4;i=6319,1.23
2024-09-05 14:04:52.543089,IsMaintenanceMode,ns=4;i=6320,False
2024-09-05 14:04:52.988858,ableToMoveStatus,ns=4;i=6432,0
2024-09-05 14:04:53.434256,lastCommandedPosition ,ns=4;i=6304,1
2024-09-05 14:04:53.439825,pointAbleToMoveStatus,ns=4;i=6026,1
2024-09-05 14:04:53.443844,position,ns=4;i=6307,1
2024-09-05 14:04:53.447354,movementStatus,ns=4;i=6305,3
2024-09-05 14:04:53.448544,StatusTechnical,ns=4;i=6313,1
2024-09-05 14:04:53.451417,ableToMoveStatus,ns=4;i=6030,1
2024-09-05 14:04:53.455737,position,ns=4;i=6300,1
2024-09-05 14:04:53.459111,position,ns=4;i=6326,0
2024-09-05 14:04:53.894873,index,ns=4;i=6323,PM_11
2024-09-05 14:04:54.435295,isCrucial,ns=4;i=6324,True
2024-09-05 14:04:55.071449,machineType,ns=4;i=6325,1
2024-09-05 14:04:55.500019,timeOffsetStartLeft,ns=4;i=6433,0.0
2024-09-05 14:04:55.926382,timeOffsetStartRight,ns=4;i=6434,0.0
2024-09-05 14:04:56.575750,turnCounter,ns=4;i=6327,
2024-09-05 14:04:57.005031,aggregateAbleToMoveStatus ,ns=4;i=6435,1
2024-09-05 14:04:57.441693,lastCommandedPosition ,ns=4;i=6356,0
2024-09-05 14:04:57.865123,pointAbleToMoveStatus,ns=4;i=6438,0
2024-09-05 14:04:58.536043,position,ns=4;i=6359,0
2024-09-05 14:04:58.536043,aggregateAbleToMoveStatus ,ns=4;i=6023,2
2024-09-05 14:04:58.551765,pointAbleToMoveStatus,ns=4;i=6026,2
2024-09-05 14:04:58.552277,position,ns=4;i=6307,4
2024-09-05 14:04:58.552277,StatusTechnical,ns=4;i=6313,4
2024-09-05 14:04:58.552277,ableToMoveStatus,ns=4;i=6030,2
2024-09-05 14:04:58.552277,position,ns=4;i=6300,4
2024-09-05 14:04:58.552277,positionDegraded ,ns=4;i=6360,4
2024-09-05 14:04:58.991208,movementStatus,ns=4;i=6357,0
2024-09-05 14:04:59.430559,driveCutoffPrinciple,ns=4;i=6436,1
